"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
405,07/16/16 07:00:00 PM,1.28022,19.413,,,
406,07/16/16 07:15:00 PM,1.28083,19.318,,,
407,07/16/16 07:30:00 PM,1.28083,19.246,,,
408,07/16/16 07:45:00 PM,1.28083,19.151,,,
409,07/16/16 08:00:00 PM,1.28144,19.008,,,
410,07/16/16 08:15:00 PM,1.28144,18.842,,,
411,07/16/16 08:30:00 PM,1.28144,18.699,,,
412,07/16/16 08:45:00 PM,1.28144,18.580,,,
413,07/16/16 09:00:00 PM,1.28205,18.438,,,
414,07/16/16 09:15:00 PM,1.28144,18.295,,,
415,07/16/16 09:30:00 PM,1.28144,18.129,,,
416,07/16/16 09:45:00 PM,1.28205,17.986,,,
417,07/16/16 10:00:00 PM,1.28205,17.843,,,
418,07/16/16 10:15:00 PM,1.28205,17.724,,,
419,07/16/16 10:30:00 PM,1.28205,17.582,,,
420,07/16/16 10:45:00 PM,1.27778,17.463,,,
421,07/16/16 11:00:00 PM,1.28205,17.320,,,
422,07/16/16 11:15:00 PM,1.28205,17.225,,,
423,07/16/16 11:30:00 PM,1.28205,17.153,,,
424,07/16/16 11:45:00 PM,1.28205,17.106,,,
425,07/17/16 12:00:00 AM,1.28266,17.058,,,
426,07/17/16 12:15:00 AM,1.28266,17.011,,,
427,07/17/16 12:30:00 AM,1.28266,16.963,,,
428,07/17/16 12:45:00 AM,1.28205,16.892,,,
429,07/17/16 01:00:00 AM,1.28205,16.820,,,
430,07/17/16 01:15:00 AM,1.28205,16.725,,,
431,07/17/16 01:30:00 AM,1.28205,16.677,,,
432,07/17/16 01:45:00 AM,1.28205,16.630,,,
433,07/17/16 02:00:00 AM,1.28205,16.534,,,
434,07/17/16 02:15:00 AM,1.28144,16.439,,,
435,07/17/16 02:30:00 AM,1.28144,16.368,,,
436,07/17/16 02:45:00 AM,1.28144,16.320,,,
437,07/17/16 03:00:00 AM,1.28144,16.272,,,
438,07/17/16 03:15:00 AM,1.28144,16.177,,,
