Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
295,2009/12/24 17:30,13.43,14.035,14.707,14.871,,,
296,2009/12/24 17:45,13.379,14.033,14.701,14.865,,,
297,2009/12/24 18:00,13.409,14.03,14.695,14.861,,,
298,2009/12/24 18:15,13.4,14.027,14.689,14.853,,,
299,2009/12/24 18:30,13.394,14.023,14.683,14.849,,,
300,2009/12/24 18:45,13.436,14.02,14.677,14.843,,,
301,2009/12/24 19:00,13.317,14.017,14.673,14.837,,,
302,2009/12/24 19:15,13.356,14.012,14.667,14.833,,,
303,2009/12/24 19:30,13.392,14.011,14.661,14.827,,,
304,2009/12/24 19:45,13.389,14.011,14.655,14.821,,,
305,2009/12/24 20:00,13.388,14.011,14.649,14.816,,,
306,2009/12/24 20:15,13.409,14.011,14.643,14.81,,,
307,2009/12/24 20:30,13.312,14.006,14.638,14.806,,,
308,2009/12/24 20:45,13.269,14,14.634,14.8,,,
309,2009/12/24 21:00,13.303,13.993,14.628,14.795,,,
310,2009/12/24 21:15,13.197,13.985,14.623,14.789,,,
311,2009/12/24 21:30,13.172,13.976,14.617,14.785,,,
312,2009/12/24 21:45,13.171,13.969,14.611,14.78,,,
313,2009/12/24 22:00,13.16,13.96,14.607,14.774,,,
314,2009/12/24 22:15,13.188,13.954,14.601,14.77,,,
315,2009/12/24 22:30,13.171,13.948,14.596,14.765,,,
316,2009/12/24 22:45,13.1,13.942,14.59,14.759,,,
317,2009/12/24 23:00,13.123,13.933,14.584,14.755,,,
318,2009/12/24 23:15,13.084,13.924,14.58,14.75,,,
319,2009/12/24 23:30,13.066,13.913,14.574,14.744,,,
320,2009/12/24 23:45,13.029,13.903,14.568,14.74,,,
321,09/13/24 12:00:00 AM,13.011,13.892,14.563,14.734,,,
322,09/13/24 12:15:00 AM,13.016,13.88,14.557,14.728,,,
323,09/13/24 12:30:00 AM,12.966,13.87,14.551,14.723,,,
324,09/13/24 12:45:00 AM,12.942,13.858,14.545,14.717,,,
325,09/13/24 01:00:00 AM,12.907,13.846,14.539,14.713,,,
326,09/13/24 01:15:00 AM,12.903,13.834,14.533,14.707,,,
327,09/13/24 01:30:00 AM,12.885,13.822,14.527,14.701,,,
328,09/13/24 01:45:00 AM,12.871,13.81,14.521,14.695,,,
329,09/13/24 02:00:00 AM,12.84,13.798,14.515,14.689,,,
330,09/13/24 02:15:00 AM,12.841,13.786,14.508,14.683,,,
331,09/13/24 02:30:00 AM,12.831,13.774,14.502,14.677,,,
332,09/13/24 02:45:00 AM,12.782,13.76,14.495,14.671,,,
333,09/13/24 03:00:00 AM,12.74,13.747,14.489,14.664,,,
334,09/13/24 03:15:00 AM,12.802,13.733,14.483,14.658,,,
335,09/13/24 03:30:00 AM,12.79,13.721,14.475,14.652,,,
336,09/13/24 03:45:00 AM,12.787,13.711,14.468,14.644,,,
337,09/13/24 04:00:00 AM,12.748,13.699,14.46,14.638,,,
338,09/13/24 04:15:00 AM,12.74,13.687,14.453,14.631,,,
339,09/13/24 04:30:00 AM,12.66,13.673,14.447,14.623,,,
340,09/13/24 04:45:00 AM,12.692,13.66,14.439,14.617,,,
341,09/13/24 05:00:00 AM,12.671,13.649,14.432,14.61,,,
342,09/13/24 05:15:00 AM,12.633,13.635,14.424,14.602,,,
343,09/13/24 05:30:00 AM,12.588,13.62,14.417,14.596,,,
344,09/13/24 05:45:00 AM,12.562,13.605,14.409,14.589,,,
