Plot Title: Hobo8,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)",Hôte connecté (LGR S/N: 21101045),Arrêté (LGR S/N: 21101045),Fin de fichier (LGR S/N: 21101045)
376,08/30/24 08:00:00 AM,-13.11,16.688,16.786,16.756,,,
377,08/30/24 08:15:00 AM,-12.99,16.686,16.778,16.743,,,
378,08/30/24 08:30:00 AM,-12.903,16.683,16.771,16.731,,,
379,08/30/24 08:45:00 AM,-12.803,16.682,16.765,16.72,,,
380,08/30/24 09:00:00 AM,-12.496,16.68,16.759,16.71,,,
381,08/30/24 09:15:00 AM,-12.552,16.679,16.753,16.701,,,
382,08/30/24 09:30:00 AM,-12.522,16.679,16.747,16.692,,,
383,08/30/24 09:45:00 AM,-12.443,16.679,16.743,16.694,,,
384,08/30/24 10:00:00 AM,-12.415,16.677,16.738,16.683,,,
385,08/30/24 10:15:00 AM,-12.305,16.674,16.732,16.692,,,
386,08/30/24 10:30:00 AM,-12.071,16.671,16.725,16.685,,,
387,08/30/24 10:45:00 AM,-16.288,16.667,16.72,16.679,,,
388,08/30/24 11:00:00 AM,-22.87,16.665,16.717,16.679,,,
389,08/30/24 11:15:00 AM,-21.304,16.664,16.713,16.677,,,
390,08/30/24 11:30:00 AM,-18.648,16.661,16.707,16.674,,,
391,08/30/24 11:45:00 AM,-21.949,16.656,16.7,16.668,,,
392,08/30/24 12:00:00 PM,-18.198,16.652,16.695,16.665,,,
393,08/30/24 12:15:00 PM,-17.182,16.647,16.688,16.661,,,
394,08/30/24 12:30:00 PM,-16.921,16.644,16.683,16.661,,,
395,08/30/24 12:45:00 PM,-16.223,16.643,16.683,16.662,,,
396,08/30/24 01:00:00 PM,-15.697,16.641,16.68,16.662,,,
397,08/30/24 01:15:00 PM,-16.595,16.641,16.68,16.665,,,
398,08/30/24 01:30:00 PM,-14.918,16.641,16.68,16.667,,,
399,08/30/24 01:45:00 PM,-13.754,16.638,16.679,16.668,,,
400,08/30/24 02:00:00 PM,-12.277,16.638,16.677,16.671,,,
401,08/30/24 02:15:00 PM,-13.299,16.641,16.682,16.68,,,
402,08/30/24 02:30:00 PM,-13.694,16.64,16.68,16.685,,,
403,08/30/24 02:45:00 PM,-13.056,16.638,16.677,16.689,,,
404,08/30/24 03:00:00 PM,-12.85,16.637,16.677,16.692,,,
405,08/30/24 03:15:00 PM,-11.43,16.637,16.676,16.698,,,
406,08/30/24 03:30:00 PM,15.112,16.641,16.682,16.704,,,
407,08/30/24 03:45:00 PM,-12.922,16.634,16.674,16.707,,,
408,08/30/24 04:00:00 PM,-12.282,16.636,16.676,16.714,,,
409,08/30/24 04:15:00 PM,-11.709,16.634,16.677,16.722,,,
410,08/30/24 04:30:00 PM,-10.897,16.633,16.677,16.728,,,
411,08/30/24 04:45:00 PM,-10.369,16.63,16.676,16.728,,,
412,08/30/24 05:00:00 PM,-9.577,16.625,16.674,16.729,,,
413,08/30/24 05:15:00 PM,-10.365,16.624,16.676,16.734,,,
414,08/30/24 05:30:00 PM,-10.791,16.622,16.679,16.74,,,
415,08/30/24 05:45:00 PM,-10.59,16.622,16.68,16.744,,,
416,08/30/24 06:00:00 PM,-10.074,16.619,16.682,16.749,,,
